所属区域,小区名称,房屋价格,房屋面积,户型
整租·宜品上层 1房间 南,海淀-上地-宜品上层,7000 元/月,58.00㎡,/
整租·望京花园西区 2室2厅 南,朝阳-望京-望京花园西区,8600 元/月,80.00㎡,/
整租·垂杨柳南里 2室1厅 南/北,朝阳-劲松-垂杨柳南里,6200 元/月,48.81㎡,/
整租·裕龙三区 3室1厅 南/北,顺义-顺义城-裕龙三区,4800 元/月,97.00㎡,/
整租·杨庄15号院 2室1厅 南/北,通州-通州北苑-杨庄15号院,4300 元/月,63.96㎡,/
整租·糖人街 2室1厅 西南,丰台-太平桥-糖人街,7500 元/月,79.93㎡,/
整租·金澳国际 1室0厅 西南,海淀-马甸-金澳国际,7300 元/月,55.00㎡,/
整租·七星园 3室1厅 南/北,石景山-鲁谷-七星园,6800 元/月,101.70㎡,/
整租·翠成馨园C区 2室1厅 南,朝阳-垡头-翠成馨园C区,6800 元/月,107.00㎡,/
整租·鸿坤理想城大满贯 1室1厅 东,大兴-西红门-鸿坤理想城大满贯,4200 元/月,66.58㎡,/
整租·西坝河东里 2室1厅 东南,朝阳-西坝河-西坝河东里,6900 元/月,54.00㎡,/
整租·中国铁建尚城汇 2房间 东,精选,4660 元/月,昌平-南邵-中国铁建尚城汇,/
整租·石佛营东里105号院 2室1厅 南/北,朝阳-石佛营-石佛营东里105号院,6200 元/月,58.00㎡,/
整租·首创紫悦台 2房间 北,精选,3060 元/月,房山-良乡-首创紫悦台,/
整租·松榆东里 1室1厅 东,精选,5560 元/月,朝阳-北工大-松榆东里,/
整租·万寿园 2室1厅 东/南,海淀-万寿路-万寿园,15000 元/月,128.00㎡,/
整租·博雅国际 1室0厅 北,朝阳-望京-博雅国际,6100 元/月,50.64㎡,/
整租·后现代城C区 1室1厅 南,朝阳-大望路-后现代城C区,9500 元/月,81.48㎡,/
整租·首创紫悦台 3室1厅 南/北,房山-良乡-首创紫悦台,4800 元/月,95.01㎡,/
整租·左家庄南里 1室1厅 南,精选,7030 元/月,朝阳-国展-左家庄南里,/
整租·将府家园 2室1厅 西南,朝阳-酒仙桥-将府家园,7700 元/月,95.00㎡,/
整租·西马庄园 1室1厅 东/西,通州-通州北苑-西马庄园,3500 元/月,55.50㎡,/
整租·北纬40度一期 2室2厅 南,朝阳-望京-北纬40度一期,8500 元/月,84.67㎡,/
整租·新康园 2室1厅 东/南,海淀-西三旗-新康园,6500 元/月,87.38㎡,/
整租·永顺南街306号 2室1厅 南/北,通州-万达-永顺南街306号,3800 元/月,65.00㎡,/
整租·旭辉26街区 1室1厅 LOFT 东,精选,3900 元/月,顺义-顺义其它-旭辉26街区,/
整租·华威北里 2室1厅 南,精选,7430 元/月,朝阳-潘家园-华威北里,/
整租·月亮城堡 1室1厅 东,通州-武夷花园-月亮城堡,3300 元/月,58.00㎡,/
整租·长阳国际城一区 3室1厅 南/北,房山-长阳-长阳国际城一区,4600 元/月,89.00㎡,/
整租·裘马都 4室2厅 南/北,朝阳-三元桥-裘马都,40000 元/月,295.00㎡,/
整租·富莱茵花园 2室1厅 东,东城-永定门-富莱茵花园,6000 元/月,69.56㎡,/
整租·海淀幸福里 4室2厅 南/北,海淀-海淀北部新区-海淀幸福里,19999 元/月,169.90㎡,/
整租·西三环北路105号院 1室1厅 南,海淀-定慧寺-西三环北路105号院,6800 元/月,42.00㎡,/
整租·中国铁建尚城汇 2房间 东,精选,4660 元/月,昌平-南邵-中国铁建尚城汇,/
整租·首创紫悦台 2房间 北,精选,3060 元/月,房山-良乡-首创紫悦台,/
整租·翠叠园 2室2厅 南/北,海淀-世纪城-翠叠园,16500 元/月,127.00㎡,/
整租·松榆东里 1室1厅 东,精选,5560 元/月,朝阳-北工大-松榆东里,/
整租·垂虹园 3室2厅 东南,海淀-世纪城-垂虹园,20500 元/月,165.00㎡,/
整租·春荫园 3室2厅 南/北,海淀-世纪城-春荫园,17000 元/月,137.00㎡,/
整租·晨月园 2室1厅 西南,海淀-世纪城-晨月园,9800 元/月,77.67㎡,/
整租·晨月园 2室1厅 西南,海淀-世纪城-晨月园,9500 元/月,94.00㎡,/
整租·左家庄南里 1室1厅 南,精选,7030 元/月,朝阳-国展-左家庄南里,/
整租·晨月园 1室1厅 北,海淀-世纪城-晨月园,6500 元/月,61.00㎡,/
整租·远大园四区 2室1厅 南/西南,海淀-世纪城-远大园四区,13500 元/月,91.52㎡,/
整租·旭辉26街区 1室1厅 LOFT 东,精选,3900 元/月,顺义-顺义其它-旭辉26街区,/
整租·华威北里 2室1厅 南,精选,7430 元/月,朝阳-潘家园-华威北里,/
整租·翠叠园 3室2厅 南/北,海淀-世纪城-翠叠园,19500 元/月,157.00㎡,/
整租·远大园四区 2室1厅 南,海淀-世纪城-远大园四区,8500 元/月,85.81㎡,/
整租·学知园 3室1厅 西南,海淀-学院路-学知园,9500 元/月,105.00㎡,/
整租·城华园 1室1厅 南,海淀-学院路-城华园,6800 元/月,62.15㎡,/
整租·玺萌鹏苑 1室1厅 南,精选,5490 元/月,丰台-草桥-玺萌鹏苑,/
整租·清枫华景园 1室1厅 南,海淀-学院路-清枫华景园,6500 元/月,52.37㎡,/
整租·北街家园六区 1室1厅 西,精选,3430 元/月,昌平-沙河-北街家园六区,/
整租·富润家园 2室2厅 西南,海淀-学院路-富润家园,11000 元/月,104.00㎡,/
整租·万泉新新家园 1室1厅 东,海淀-万柳-万泉新新家园,7800 元/月,58.00㎡,/
整租·新起点嘉园 2室1厅 东,海淀-万柳-新起点嘉园,14500 元/月,125.50㎡,/
整租·碧水云天 3室2厅 南/北,海淀-万柳-碧水云天,32000 元/月,167.38㎡,/
整租·胜利小区 1室1厅 南,精选,3830 元/月,顺义-顺义城-胜利小区,/
整租·上奥世纪中心 2房间 西,精选,5390 元/月,昌平-西三旗-上奥世纪中心,/
整租·康桥水郡 1室0厅 西,海淀-万柳-康桥水郡,7500 元/月,49.00㎡,/
整租·定福家园2号院 2室1厅 南,精选,7830 元/月,朝阳-定福庄-定福家园2号院,/
整租·新起点嘉园 2室1厅 东,海淀-万柳-新起点嘉园,14500 元/月,125.50㎡,/
整租·碧水云天 2室2厅 东,海淀-万柳-碧水云天,17000 元/月,100.00㎡,/
整租·裕龙三区 3室1厅 南/北,顺义-顺义城-裕龙三区,4800 元/月,97.00㎡,/
整租·杨庄15号院 2室1厅 南/北,通州-通州北苑-杨庄15号院,4300 元/月,63.96㎡,/
整租·和平里四区 2室1厅 南,精选,8160 元/月,东城-和平里-和平里四区,/
整租·糖人街 2室1厅 西南,丰台-太平桥-糖人街,7500 元/月,79.93㎡,/
整租·金澳国际 1室0厅 西南,海淀-马甸-金澳国际,7300 元/月,55.00㎡,/
整租·常楹公元自由派 2房间 西,精选,5060 元/月,朝阳-常营-常楹公元自由派,/
整租·七星园 3室1厅 南/北,石景山-鲁谷-七星园,6800 元/月,101.70㎡,/
整租·翠成馨园C区 2室1厅 南,朝阳-垡头-翠成馨园C区,6800 元/月,107.00㎡,/
整租·鸿坤理想城大满贯 1室1厅 东,大兴-西红门-鸿坤理想城大满贯,4200 元/月,66.58㎡,/
整租·西坝河东里 2室1厅 东南,朝阳-西坝河-西坝河东里,6900 元/月,54.00㎡,/
整租·石佛营东里105号院 2室1厅 南/北,朝阳-石佛营-石佛营东里105号院,6200 元/月,58.00㎡,/
整租·前半壁街 2室1厅 西,精选,9430 元/月,西城-官园-前半壁街,/
整租·远洋新仕界 2房间 东,精选,3360 元/月,房山-良乡-远洋新仕界,/
整租·万寿园 2室1厅 东/南,海淀-万寿路-万寿园,15000 元/月,128.00㎡,/
整租·博雅国际 1室0厅 北,朝阳-望京-博雅国际,6100 元/月,50.64㎡,/
整租·后现代城C区 1室1厅 南,朝阳-大望路-后现代城C区,9500 元/月,81.48㎡,/
整租·首创紫悦台 3室1厅 南/北,房山-良乡-首创紫悦台,4800 元/月,95.01㎡,/
整租·将府家园 2室1厅 西南,朝阳-酒仙桥-将府家园,7700 元/月,95.00㎡,/
整租·富国里小区 1室1厅 北,精选,8360 元/月,西城-官园-富国里小区,/
整租·西马庄园 1室1厅 东/西,通州-通州北苑-西马庄园,3500 元/月,55.50㎡,/
整租·北纬40度一期 2室2厅 南,朝阳-望京-北纬40度一期,8500 元/月,84.67㎡,/
整租·新康园 2室1厅 东/南,海淀-西三旗-新康园,6500 元/月,87.38㎡,/
整租·永顺南街306号 2室1厅 南/北,通州-万达-永顺南街306号,3800 元/月,65.00㎡,/
整租·月亮城堡 1室1厅 东,通州-武夷花园-月亮城堡,3300 元/月,58.00㎡,/
整租·长阳国际城一区 3室1厅 南/北,房山-长阳-长阳国际城一区,4600 元/月,89.00㎡,/
整租·裘马都 4室2厅 南/北,朝阳-三元桥-裘马都,40000 元/月,295.00㎡,/
整租·国门智慧城 3房间 LOFT 南,精选,4700 元/月,顺义-后沙峪-国门智慧城,/
整租·国门智慧城 5房间 LOFT 南,精选,5400 元/月,顺义-后沙峪-国门智慧城,/
整租·富莱茵花园 2室1厅 东,东城-永定门-富莱茵花园,6000 元/月,69.56㎡,/
整租·海淀幸福里 4室2厅 南/北,海淀-海淀北部新区-海淀幸福里,19999 元/月,169.90㎡,/
整租·红山世家 2室1厅 东,西城-广安门-红山世家,14000 元/月,92.89㎡,/
整租·京能丨电建·洺悦湾 3室1厅 南/北,大兴-旧宫-京能丨电建·洺悦湾,6500 元/月,85.91㎡,/
整租·和平里四区 2室1厅 南,精选,8160 元/月,东城-和平里-和平里四区,/
整租·常楹公元自由派 2房间 西,精选,5060 元/月,朝阳-常营-常楹公元自由派,/
整租·农光南里 2室1厅 西南,朝阳-劲松-农光南里,7100 元/月,59.72㎡,/
整租·红螺馨园 2室2厅 南/北,怀柔-怀柔-红螺馨园,2900 元/月,82.00㎡,/
整租·西辛北区 2室1厅 南/北,顺义-顺义城-西辛北区,3400 元/月,72.00㎡,/
整租·永旭嘉园 3室1厅 南,大兴-瀛海-永旭嘉园,4850 元/月,88.35㎡,/
整租·鲁艺上河村 3室2厅 南/北,海淀-世纪城-鲁艺上河村,27000 元/月,178.43㎡,/
整租·前半壁街 2室1厅 西,精选,9430 元/月,西城-官园-前半壁街,/
整租·首开缇香郡 2室1厅 南/北,通州-通州其它-首开缇香郡,3000 元/月,82.00㎡,/
整租·文慧园15号16公寓 1室1厅 西/北,海淀-小西天-文慧园15号16公寓,6600 元/月,52.85㎡,/
整租·远洋新仕界 2房间 东,精选,3360 元/月,房山-良乡-远洋新仕界,/
整租·富国里小区 1室1厅 北,精选,8360 元/月,西城-官园-富国里小区,/
整租·林肯公园A区 3房间 南,亦庄开发区-亦庄-林肯公园A区,9000 元/月,120.00㎡,/
整租·北纬40度一期 2室1厅 东南,朝阳-望京-北纬40度一期,8600 元/月,85.35㎡,/
整租·国门智慧城 3房间 LOFT 南,精选,4700 元/月,顺义-后沙峪-国门智慧城,/
整租·紫禁壹号院北院 5室2厅 南/北,亦庄开发区-亦庄开发区其它-紫禁壹号院北院,26000 元/月,191.00㎡,/
整租·国门智慧城 5房间 LOFT 南,精选,5400 元/月,顺义-后沙峪-国门智慧城,/
整租·金茂北京国际社区 2室2厅 南/北,顺义-顺义其它-金茂北京国际社区,3200 元/月,71.43㎡,/
整租·首开万科城市之光 2房间 LOFT 西,精选,4200 元/月,通州-通州其它-首开万科城市之光,/
整租·旭辉26街区 1室1厅 LOFT 北,精选,3300 元/月,顺义-顺义其它-旭辉26街区,/
整租·建清园 2室1厅 南/北,海淀-学院路-建清园,8200 元/月,72.55㎡,/
整租·gogo新世代 2房间 南,丰台-方庄-gogo新世代,45000 元/月,343.00㎡,/
整租·玲珑苑 2室1厅 南/北,海淀-定慧寺-玲珑苑,12500 元/月,81.00㎡,/
整租·东货场路40号院 2室1厅 南/北,丰台-北大地-东货场路40号院,5200 元/月,62.00㎡,/
整租·东恒时代二期 1室1厅 东,精选,9390 元/月,朝阳-四惠-东恒时代二期,/
整租·仁悦居7号院 2室1厅 南/北,顺义-顺义其它-仁悦居7号院,3600 元/月,89.00㎡,/
整租·景泰西里西区 1室1厅 南,东城-永定门-景泰西里西区,6200 元/月,60.00㎡,/
整租·远洋沁山水 3室1厅 南/北,石景山-鲁谷-远洋沁山水,22000 元/月,140.00㎡,/
整租·裕龙三区 3室1厅 南/北,顺义-顺义城-裕龙三区,4800 元/月,97.00㎡,/
整租·杨庄15号院 2室1厅 南/北,通州-通州北苑-杨庄15号院,4300 元/月,63.96㎡,/
整租·中关村 1室1厅 东,精选,8090 元/月,海淀-中关村-中关村,/
整租·糖人街 2室1厅 西南,丰台-太平桥-糖人街,7500 元/月,79.93㎡,/
整租·金澳国际 1室0厅 西南,海淀-马甸-金澳国际,7300 元/月,55.00㎡,/
整租·华盛乐章 2室1厅 东南,精选,12130 元/月,朝阳-健翔桥-华盛乐章,/
整租·七星园 3室1厅 南/北,石景山-鲁谷-七星园,6800 元/月,101.70㎡,/
整租·翠成馨园C区 2室1厅 南,朝阳-垡头-翠成馨园C区,6800 元/月,107.00㎡,/
整租·鸿坤理想城大满贯 1室1厅 东,大兴-西红门-鸿坤理想城大满贯,4200 元/月,66.58㎡,/
整租·康营家园四期A区 2室1厅 南,精选,5500 元/月,朝阳-中央别墅区-康营家园四期A区,/
整租·新景家园东区 2室1厅 南,精选,10260 元/月,东城-崇文门-新景家园东区,/
整租·北新家园 2室1厅 南,精选,6860 元/月,海淀-西三旗-北新家园,/
整租·西坝河东里 2室1厅 东南,朝阳-西坝河-西坝河东里,6900 元/月,54.00㎡,/
整租·石佛营东里105号院 2室1厅 南/北,朝阳-石佛营-石佛营东里105号院,6200 元/月,58.00㎡,/
整租·万寿园 2室1厅 东/南,海淀-万寿路-万寿园,15000 元/月,128.00㎡,/
整租·博雅国际 1室0厅 北,朝阳-望京-博雅国际,6100 元/月,50.64㎡,/
整租·中关村 1室1厅 南,精选,6800 元/月,海淀-中关村-中关村,/
整租·后现代城C区 1室1厅 南,朝阳-大望路-后现代城C区,9500 元/月,81.48㎡,/
整租·首创紫悦台 3室1厅 南/北,房山-良乡-首创紫悦台,4800 元/月,95.01㎡,/
整租·将府家园 2室1厅 西南,朝阳-酒仙桥-将府家园,7700 元/月,95.00㎡,/
整租·西马庄园 1室1厅 东/西,通州-通州北苑-西马庄园,3500 元/月,55.50㎡,/
整租·北纬40度一期 2室2厅 南,朝阳-望京-北纬40度一期,8500 元/月,84.67㎡,/
整租·新康园 2室1厅 东/南,海淀-西三旗-新康园,6500 元/月,87.38㎡,/
整租·永顺南街306号 2室1厅 南/北,通州-万达-永顺南街306号,3800 元/月,65.00㎡,/
整租·月亮城堡 1室1厅 东,通州-武夷花园-月亮城堡,3300 元/月,58.00㎡,/
整租·康营家园四期B区 2室1厅 南,精选,5600 元/月,朝阳-中央别墅区-康营家园四期B区,/
整租·长阳国际城一区 3室1厅 南/北,房山-长阳-长阳国际城一区,4600 元/月,89.00㎡,/
整租·裘马都 4室2厅 南/北,朝阳-三元桥-裘马都,40000 元/月,295.00㎡,/
整租·富莱茵花园 2室1厅 东,东城-永定门-富莱茵花园,6000 元/月,69.56㎡,/
整租·海淀幸福里 4室2厅 南/北,海淀-海淀北部新区-海淀幸福里,19999 元/月,169.90㎡,/
整租·胜利小区 1室1厅 南,精选,3830 元/月,顺义-顺义城-胜利小区,/
整租·裕龙三区 3室1厅 南/北,顺义-顺义城-裕龙三区,4800 元/月,97.00㎡,/
整租·杨庄15号院 2室1厅 南/北,通州-通州北苑-杨庄15号院,4300 元/月,63.96㎡,/
整租·建功南里 1室1厅 南,精选,6630 元/月,西城-白纸坊-建功南里,/
整租·柳浪家园南里 1室1厅 东,精选,6290 元/月,海淀-马连洼-柳浪家园南里,/
整租·糖人街 2室1厅 西南,丰台-太平桥-糖人街,7500 元/月,79.93㎡,/
整租·欣葆家园二区 1室1厅 南,精选,4890 元/月,丰台-科技园区-欣葆家园二区,/
整租·金澳国际 1室0厅 西南,海淀-马甸-金澳国际,7300 元/月,55.00㎡,/
整租·皂君西里 2室1厅 东,精选,8330 元/月,海淀-皂君庙-皂君西里,/
整租·七星园 3室1厅 南/北,石景山-鲁谷-七星园,6800 元/月,101.70㎡,/
整租·翠成馨园C区 2室1厅 南,朝阳-垡头-翠成馨园C区,6800 元/月,107.00㎡,/
整租·慧谷阳光 1室1厅 北,精选,8090 元/月,朝阳-望京-慧谷阳光,/
整租·鸿坤理想城大满贯 1室1厅 东,大兴-西红门-鸿坤理想城大满贯,4200 元/月,66.58㎡,/
整租·西坝河东里 2室1厅 东南,朝阳-西坝河-西坝河东里,6900 元/月,54.00㎡,/
整租·石佛营东里105号院 2室1厅 南/北,朝阳-石佛营-石佛营东里105号院,6200 元/月,58.00㎡,/
整租·万寿园 2室1厅 东/南,海淀-万寿路-万寿园,15000 元/月,128.00㎡,/
整租·文晟家园 1室1厅 南,精选,7290 元/月,海淀-西三旗-文晟家园,/
整租·博雅国际 1室0厅 北,朝阳-望京-博雅国际,6100 元/月,50.64㎡,/
整租·后现代城C区 1室1厅 南,朝阳-大望路-后现代城C区,9500 元/月,81.48㎡,/
整租·三义庙北 2室1厅 南,精选,8290 元/月,海淀-苏州桥-三义庙北,/
整租·首创紫悦台 3室1厅 南/北,房山-良乡-首创紫悦台,4800 元/月,95.01㎡,/
整租·小南庄社区 2室1厅 东,精选,10960 元/月,海淀-[苏州桥]-小南庄社区,/
整租·将府家园 2室1厅 西南,朝阳-酒仙桥-将府家园,7700 元/月,95.00㎡,/
整租·光熙门北里 1室1厅 南,精选,6230 元/月,朝阳-西坝河-光熙门北里,/
整租·西马庄园 1室1厅 东/西,通州-通州北苑-西马庄园,3500 元/月,55.50㎡,/
整租·北纬40度一期 2室2厅 南,朝阳-望京-北纬40度一期,8500 元/月,84.67㎡,/
整租·北京像素南区 1室1厅 北,精选,5160 元/月,朝阳-常营-北京像素南区,/
整租·新康园 2室1厅 东/南,海淀-西三旗-新康园,6500 元/月,87.38㎡,/
整租·远见名苑 1室1厅 北,精选,6130 元/月,西城-广安门-远见名苑,/
整租·永顺南街306号 2室1厅 南/北,通州-万达-永顺南街306号,3800 元/月,65.00㎡,/
整租·裕龙三区 3室1厅 南/北,顺义-顺义城-裕龙三区,4800 元/月,97.00㎡,/
整租·中关村 1室1厅 东,精选,8090 元/月,海淀-中关村-中关村,/
整租·华盛乐章 2室1厅 东南,精选,12130 元/月,朝阳-健翔桥-华盛乐章,/
整租·康营家园四期A区 2室1厅 南,精选,5500 元/月,朝阳-中央别墅区-康营家园四期A区,/
整租·杨庄15号院 2室1厅 南/北,通州-通州北苑-杨庄15号院,4300 元/月,63.96㎡,/
整租·糖人街 2室1厅 西南,丰台-太平桥-糖人街,7500 元/月,79.93㎡,/
整租·金澳国际 1室0厅 西南,海淀-马甸-金澳国际,7300 元/月,55.00㎡,/
整租·新景家园东区 2室1厅 南,精选,10260 元/月,东城-崇文门-新景家园东区,/
整租·北新家园 2室1厅 南,精选,6860 元/月,海淀-西三旗-北新家园,/
整租·七星园 3室1厅 南/北,石景山-鲁谷-七星园,6800 元/月,101.70㎡,/
整租·翠成馨园C区 2室1厅 南,朝阳-垡头-翠成馨园C区,6800 元/月,107.00㎡,/
整租·鸿坤理想城大满贯 1室1厅 东,大兴-西红门-鸿坤理想城大满贯,4200 元/月,66.58㎡,/
整租·西坝河东里 2室1厅 东南,朝阳-西坝河-西坝河东里,6900 元/月,54.00㎡,/
整租·石佛营东里105号院 2室1厅 南/北,朝阳-石佛营-石佛营东里105号院,6200 元/月,58.00㎡,/
整租·万寿园 2室1厅 东/南,海淀-万寿路-万寿园,15000 元/月,128.00㎡,/
整租·中关村 1室1厅 南,精选,6800 元/月,海淀-中关村-中关村,/
整租·博雅国际 1室0厅 北,朝阳-望京-博雅国际,6100 元/月,50.64㎡,/
整租·后现代城C区 1室1厅 南,朝阳-大望路-后现代城C区,9500 元/月,81.48㎡,/
整租·首创紫悦台 3室1厅 南/北,房山-良乡-首创紫悦台,4800 元/月,95.01㎡,/
整租·将府家园 2室1厅 西南,朝阳-酒仙桥-将府家园,7700 元/月,95.00㎡,/
整租·西马庄园 1室1厅 东/西,通州-通州北苑-西马庄园,3500 元/月,55.50㎡,/
整租·北纬40度一期 2室2厅 南,朝阳-望京-北纬40度一期,8500 元/月,84.67㎡,/
整租·新康园 2室1厅 东/南,海淀-西三旗-新康园,6500 元/月,87.38㎡,/
整租·康营家园四期B区 2室1厅 南,精选,5600 元/月,朝阳-中央别墅区-康营家园四期B区,/
整租·永顺南街306号 2室1厅 南/北,通州-万达-永顺南街306号,3800 元/月,65.00㎡,/
整租·东惠家园 2室1厅 南,精选,5690 元/月,通州-通州其它-东惠家园,/
整租·月亮城堡 1室1厅 东,通州-武夷花园-月亮城堡,3300 元/月,58.00㎡,/
整租·长阳国际城一区 3室1厅 南/北,房山-长阳-长阳国际城一区,4600 元/月,89.00㎡,/
整租·绿地中央广场 3室1厅 东,精选,6300 元/月,通州-北关-绿地中央广场,/
整租·望馨花园 2室2厅 南,精选,11500 元/月,朝阳-望京-望馨花园,/
整租·翠叠园 2室2厅 南/北,海淀-世纪城-翠叠园,16500 元/月,127.00㎡,/
整租·垂虹园 3室2厅 东南,海淀-世纪城-垂虹园,20500 元/月,165.00㎡,/
整租·春荫园 3室2厅 南/北,海淀-世纪城-春荫园,17000 元/月,137.00㎡,/
整租·晨月园 2室1厅 西南,海淀-世纪城-晨月园,9800 元/月,77.67㎡,/
整租·前半壁街 2室1厅 西,精选,9430 元/月,西城-官园-前半壁街,/
整租·远洋新仕界 2房间 东,精选,3360 元/月,房山-良乡-远洋新仕界,/
整租·晨月园 2室1厅 西南,海淀-世纪城-晨月园,9500 元/月,94.00㎡,/
整租·晨月园 1室1厅 北,海淀-世纪城-晨月园,6500 元/月,61.00㎡,/
整租·富国里小区 1室1厅 北,精选,8360 元/月,西城-官园-富国里小区,/
整租·远大园四区 2室1厅 南/西南,海淀-世纪城-远大园四区,13500 元/月,91.52㎡,/
整租·翠叠园 3室2厅 南/北,海淀-世纪城-翠叠园,19500 元/月,157.00㎡,/
整租·远大园四区 2室1厅 南,海淀-世纪城-远大园四区,8500 元/月,85.81㎡,/
整租·学知园 3室1厅 西南,海淀-学院路-学知园,9500 元/月,105.00㎡,/
整租·城华园 1室1厅 南,海淀-学院路-城华园,6800 元/月,62.15㎡,/
整租·清枫华景园 1室1厅 南,海淀-学院路-清枫华景园,6500 元/月,52.37㎡,/
整租·富润家园 2室2厅 西南,海淀-学院路-富润家园,11000 元/月,104.00㎡,/
整租·万泉新新家园 1室1厅 东,海淀-万柳-万泉新新家园,7800 元/月,58.00㎡,/
整租·新起点嘉园 2室1厅 东,海淀-万柳-新起点嘉园,14500 元/月,125.50㎡,/
整租·碧水云天 3室2厅 南/北,海淀-万柳-碧水云天,32000 元/月,167.38㎡,/
整租·国门智慧城 3房间 LOFT 南,精选,4700 元/月,顺义-后沙峪-国门智慧城,/
整租·康桥水郡 1室0厅 西,海淀-万柳-康桥水郡,7500 元/月,49.00㎡,/
整租·新起点嘉园 2室1厅 东,海淀-万柳-新起点嘉园,14500 元/月,125.50㎡,/
整租·碧水云天 2室2厅 东,海淀-万柳-碧水云天,17000 元/月,100.00㎡,/
整租·阳春光华家园 2室1厅 南,海淀-万柳-阳春光华家园,14000 元/月,121.09㎡,/
整租·国门智慧城 5房间 LOFT 南,精选,5400 元/月,顺义-后沙峪-国门智慧城,/
整租·新起点嘉园 2室2厅 东南,海淀-万柳-新起点嘉园,14000 元/月,123.89㎡,/
整租·首开万科城市之光 2房间 LOFT 西,精选,4200 元/月,通州-通州其它-首开万科城市之光,/
整租·太平路甲20号院 1室1厅 南,海淀-五棵松-太平路甲20号院,5100 元/月,40.70㎡,/
整租·永定路西里小区 2室1厅 南/北,海淀-五棵松-永定路西里小区,6500 元/月,58.20㎡,/
整租·旭辉26街区 1室1厅 LOFT 北,精选,3300 元/月,顺义-顺义其它-旭辉26街区,/
整租·皂君西里 2室1厅 东,精选,8330 元/月,海淀-皂君庙-皂君西里,/
整租·红山世家 2室1厅 东,西城-广安门-红山世家,14000 元/月,92.89㎡,/
整租·京能丨电建·洺悦湾 3室1厅 南/北,大兴-旧宫-京能丨电建·洺悦湾,6500 元/月,85.91㎡,/
整租·农光南里 2室1厅 西南,朝阳-劲松-农光南里,7100 元/月,59.72㎡,/
整租·慧谷阳光 1室1厅 北,精选,8090 元/月,朝阳-望京-慧谷阳光,/
整租·红螺馨园 2室2厅 南/北,怀柔-怀柔-红螺馨园,2900 元/月,82.00㎡,/
整租·文晟家园 1室1厅 南,精选,7290 元/月,海淀-西三旗-文晟家园,/
整租·西辛北区 2室1厅 南/北,顺义-顺义城-西辛北区,3400 元/月,72.00㎡,/
整租·永旭嘉园 3室1厅 南,大兴-瀛海-永旭嘉园,4850 元/月,88.35㎡,/
整租·三义庙北 2室1厅 南,精选,8290 元/月,海淀-苏州桥-三义庙北,/
整租·鲁艺上河村 3室2厅 南/北,海淀-世纪城-鲁艺上河村,27000 元/月,178.43㎡,/
整租·小南庄社区 2室1厅 东,精选,10960 元/月,海淀-[苏州桥]-小南庄社区,/
整租·首开缇香郡 2室1厅 南/北,通州-通州其它-首开缇香郡,3000 元/月,82.00㎡,/
整租·文慧园15号16公寓 1室1厅 西/北,海淀-小西天-文慧园15号16公寓,6600 元/月,52.85㎡,/
整租·林肯公园A区 3房间 南,亦庄开发区-亦庄-林肯公园A区,9000 元/月,120.00㎡,/
整租·北纬40度一期 2室1厅 东南,朝阳-望京-北纬40度一期,8600 元/月,85.35㎡,/
整租·紫禁壹号院北院 5室2厅 南/北,亦庄开发区-亦庄开发区其它-紫禁壹号院北院,26000 元/月,191.00㎡,/
整租·光熙门北里 1室1厅 南,精选,6230 元/月,朝阳-西坝河-光熙门北里,/
整租·金茂北京国际社区 2室2厅 南/北,顺义-顺义其它-金茂北京国际社区,3200 元/月,71.43㎡,/
整租·北京像素南区 1室1厅 北,精选,5160 元/月,朝阳-常营-北京像素南区,/
整租·建清园 2室1厅 南/北,海淀-学院路-建清园,8200 元/月,72.55㎡,/
整租·gogo新世代 2房间 南,丰台-方庄-gogo新世代,45000 元/月,343.00㎡,/
整租·远见名苑 1室1厅 北,精选,6130 元/月,西城-广安门-远见名苑,/
整租·玲珑苑 2室1厅 南/北,海淀-定慧寺-玲珑苑,12500 元/月,81.00㎡,/
整租·东货场路40号院 2室1厅 南/北,丰台-北大地-东货场路40号院,5200 元/月,62.00㎡,/
整租·东亚首航国际 1室1厅 西,精选,3290 元/月,"顺义-[后沙峪,",/
整租·仁悦居7号院 2室1厅 南/北,顺义-顺义其它-仁悦居7号院,3600 元/月,89.00㎡,/
整租·景泰西里西区 1室1厅 南,东城-永定门-景泰西里西区,6200 元/月,60.00㎡,/
整租·远洋沁山水 3室1厅 南/北,石景山-鲁谷-远洋沁山水,22000 元/月,140.00㎡,/
整租·常营民族家园 1室1厅 南,精选,5930 元/月,朝阳-常营-常营民族家园,/
整租·天缘公寓 2室1厅 东,精选,14230 元/月,西城-白纸坊-天缘公寓,/
整租·艾瑟顿 1室1厅 南,海淀-苏州桥-艾瑟顿,8500 元/月,76.00㎡,/
整租·艾瑟顿 1室1厅 南,海淀-苏州桥-艾瑟顿,8500 元/月,76.00㎡,/
整租·西便门内大街79号院 1室1厅 北,精选,6330 元/月,西城-长椿街-西便门内大街79号院,/
整租·康缘居 2室1厅 南,精选,6730 元/月,丰台-角门-康缘居,/
整租·大慧寺12号院 2室1厅 西南,海淀-白石桥-大慧寺12号院,9000 元/月,81.00㎡,/
整租·大柳树3号院 1室1厅 东,海淀-白石桥-大柳树3号院,6200 元/月,36.56㎡,/
整租·国家气象局 2室1厅 南/北,海淀-白石桥-国家气象局,9300 元/月,58.22㎡,/
